2;8.2;Hanna Montanaa;;5
24/12/2025;0;Projeto;Hanna;Teste
24/12/2025;0;projeto;Hanna;Teste
24/12/2025;0;projeto;hanna;teste
24/12/2025;0;projeto;fd;dfs
24/12/2025;0;projeto;hanna;teste08
24/12/2025;0;projeto;han;asf
24/12/2025;0;projeto;ha;re
24/12/2025;0;projeto;han;test
24/12/2025;0;projeto;s;ad
24/12/2025;0;Projeto Estrutura de Dados;Hanna;adgsdw
24/12/2025;0;projeto;Hanna Nunes;Robo
24/12/2025;5;projeto;Hanna;Robo
24/12/2025;0;;handa;handa
24/12/2025;0;;Hanna;handa
24/12/2025;0;;Hanna;handa
24/12/2025;0;;Han;handa
24/12/2025;0;;Hanna;handa
24/12/2025;0;;Hanna Reis;handa
24/12/2025;0;;ha;handa
24/12/2025;0;;han;handa
24/12/2025;0;;hanna;Teste01
24/12/2025;10;projeto;hanna;teste01
24/12/2025;10;projeto;Hanna;teste01
24/12/2025;2;projeto;Hanna;teste01
24/12/2025;10;projeto;thiago;teste01
